file	line	word	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/api/adapters/Adapter.md	16	format_system_message	options members __call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure	format_task_description format_user_message_content parse show_source true show_root_heading true heading_level 2 docstring_style
/home/maxime/Projects/dspy/docs/docs/api/adapters/ChatAdapter.md	18	format_system_message	__call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure format_field_with_value format_finetune_data	format_task_description format_user_message_content parse user_message_output_requirements show_source true show_root_heading true heading_level 2
/home/maxime/Projects/dspy/docs/docs/api/adapters/JSONAdapter.md	18	format_system_message	__call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure format_field_with_value format_finetune_data	format_task_description format_user_message_content parse user_message_output_requirements show_source true show_root_heading true heading_level 2
/home/maxime/Projects/dspy/docs/docs/api/adapters/TwoStepAdapter.md	16	format_system_message	options members __call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure	format_task_description format_user_message_content parse show_source true show_root_heading true heading_level 2 docstring_style
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	318	systematic	a component in batch enabling cross example pattern detection and	issue identification Mind data serialization Serializing everything to strings might
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	3	systems	that adaptively evolves _textual components_ such as prompts of arbitrary	In addition to scalar scores returned by metrics users can
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	3	system	Such textual feedback provides GEPA more visibility into why the	got the score that it did and then GEPA can
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	98	System	Pareto validation set Update the candidate pool Pareto frontier Optionally	aware merge crossover Combine best performing modules from distinct lineages
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	104	system	rewards This mirrors human diagnostic processes enabling clearer identification of	behaviors and bottlenecks Practical Recipe for GEPA Friendly Feedback Leverage
/home/maxime/Projects/dspy/docs/docs/community/community-ports.md	3	ecosystems	These community maintained ports bring DSPy's programming paradigm to different	If you have created a DSPy port in another language
/home/maxime/Projects/dspy/docs/docs/community/community-resources.md	24	systems	DSPy Link https relevanceai com blog building self improving agentic	in production with dspy Videos Name Link DSPy Explained 60K
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	20	system	salomatic used langtrace to build a reliable medical report generation	Enriching medical reports using DSPy Blog https langtrace ai blog
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	20	system	salomatic used langtrace to build a reliable medical report generation	Truelaw https www youtube com watch v O0F3RAWZNfM How Truelaw
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	23	systems	Moody's https www moodys com Leveraging DSPy to optimize RAG	LLM as a Judge and agentic systems for financial workflows
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	23	systems	to optimize RAG systems LLM as a Judge and agentic	for financial workflows Normal Computing https www normalcomputing com Translate
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	48	system	WangLab MEDIQA https arxiv org abs 2404 14544 UofT's winning	at MEDIQA outperforms the next best system by 20 points
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	48	system	14544 UofT's winning system at MEDIQA outperforms the next best	by 20 points UMD's Suicide Detection System https arxiv org
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	49	System	the next best system by 20 points UMD's Suicide Detection	https arxiv org abs 2406 06608 Outperforms 20 hour expert
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	52	System	Optimization Palimpzest https arxiv org abs 2405 14696 A Declarative	for Optimizing AI Workloads AI Agents that Matter https arxiv
